INFO 1736945035,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table in 
INFO 1736945035,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database tt 
INFO 1736987078,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database tt 
INFO 1736987078,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736987078,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736987078,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table in 
INFO 1736987079,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in in 
INFO 1736987083,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table2 
INFO 1736987086,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table1 
INFO 1736987094,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736987094,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736987094,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table in 
INFO 1736987094,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database tt 
INFO 1736987094,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database base2 
INFO 1736987094,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736987094,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736987097,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table1 
INFO 1736987099,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table2 
INFO 1736987105,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736987105,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736987105,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database base2 
INFO 1736987105,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database base1 
INFO 1736987105,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table3 
INFO 1736987106,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table3 
INFO 1736987108,at D:\work\furinadb\furinadb\src\database\bufferpool.cpp, in line 64, saving all pages 
INFO 1736987108,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 41, save page 0 in in 
INFO 1736987108,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 41, save page 0 in table2 
INFO 1736987108,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 41, save page 0 in table1 
INFO 1736987108,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 41, save page 0 in table1 
INFO 1736987108,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 41, save page 0 in table2 
INFO 1736987108,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 41, save page 0 in table3 
INFO 1736987108,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table3 
INFO 1736987108,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database base1 
INFO 1736987118,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database tt 
INFO 1736987118,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736987118,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736987118,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table in 
INFO 1736987118,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table1 
INFO 1736987120,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table2 
INFO 1736987122,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in in 
INFO 1736987124,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736987124,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736987124,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table in 
INFO 1736987124,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database tt 
INFO 1736987124,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database base2 
INFO 1736987124,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736987124,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736987125,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table1 
INFO 1736987126,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table2 
INFO 1736987128,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736987128,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736987128,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database base2 
INFO 1736987128,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database base1 
INFO 1736987128,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table3 
INFO 1736987129,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table3 
INFO 1736987131,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table3 
INFO 1736987131,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database base1 
